Date,Open,High,Low,Close,Volume,AdjClose
2020/4/3,40450 ,40450 ,40050 ,40050 ,0 ,40050 
2020/4/2,40450 ,40450 ,40050 ,40050 ,17700 ,40050 
2020/4/1,40000 ,40000 ,40000 ,40000 ,5500 ,40000 
2020/4/13,40500,40500,40450,40500,57500,40500
2020/4/10,40500,40500,40500,40500,13000,40500
2020/4/9,40500,40500,40100,40500,36000,40500
2020/4/8,40250,40500,40250,40500,7000,40500
2020/4/7,40250,40300,40250,40250,8430,40250
2020/4/6,40500,40500,40100,40150,10000,40150
2020/4/3,40150,40150,40150,40050,0,40050
2020/4/2,40450,40450,40050,40050,17700,40050
